address,text,category
0x001E9E80,"PsIIlibcdvd 2800","OTHER"
0x001F1920,"MARK:adxt_obj","OTHER"
0x001FDCA0,"
ADXRT  Ver.2800 Build:Jul 28 2003 17:49:59
","OTHER"
0x00200678,"MARK:lsc_obj","OTHER"
0x0020BE18,"0123456789abcdef","OTHER"
0x00211F50,"PsIIlibpad2 2800","OTHER"
0x002122A8,"PsIIlibdbc  2800","OTHER"
0x00217248,"Nov 17 2003","OTHER"
0x00217258,"22:18:28","OTHER"
0x002184A0,"send \ATZ\\r\
wait \OK\\r\
\,3
send \AT&F;+GCI=00;-STE=0\\r\
wait \OK\\r\
\,3
send \ATE0M0L0W2X3&C1&D2%E0S10=50\\r\
wait \OK\\r\
\,3
send \AT%C3\\\\N3\\r\
wait \OK\\r\
\,3
send \AT+MS=V34,0,14400,33600,14400,33600\\r\
wait \OK\\r\
\,3
","OTHER"
0x002185A0,"send \ATZ&F\\r\
wait \OK\\r\
\,3
send \AT*Y162K=8181\\r\
wait \OK\\r\
\,3
send \ATE0M0X3&C1&D2%E0S10=50\\r\
wait \OK\\r\
\,3
send \AT\\\\N3\\r\
wait \OK\\r\
\,3
send \AT&H3&G17\\r\
wait \OK\\r\
\,3
","OTHER"
0x00219090,"PsIIlibusbkb2800","OTHER"
0x00219100,"sceCdCbfunc= %d sceCdCbfunc_num= %d
","OTHER"
0x00219128,"Libcdvd bind err CdSearchFile
","OTHER"
0x00219148,"ee call cmd search %s
","OTHER"
0x00219160,"search name %s
","OTHER"
0x00219170,"search size %d
","OTHER"
0x00219180,"search loc lbn %d
","OTHER"
0x00219198,"Ncmd fail sema cur_cmd:%d keep_cmd:%d
","OTHER"
0x002191C0,"Libcdvd bind err N CMD
","OTHER"
0x002191D8,"N cmd wait
","OTHER"
0x002191E8,"S cmd wait
","OTHER"
0x002191F8,"Scmd fail sema cur_cmd:%d keep_cmd:%d
","OTHER"
0x00219220,"Libcdvd bind err S cmd
","OTHER"
0x00219238,"Libcdvd bind err %d CD_Init %d
","OTHER"
0x00219258,"Libcdvd Exit
","OTHER"
0x00219268,"OLD DiskReady Call
","OTHER"
0x00219280,"Libcdvd bind err CdDiskReady
","OTHER"
0x002192A0,"DiskReady ended
","OTHER"
0x002192B8,"NEW DiskReady Call
","OTHER"
0x002192D0,"call cdread cmd
","OTHER"
0x002192E8,"cdread end
","OTHER"
0x002192F8,"Libcdvd call Clock read 1
","OTHER"
0x00219318,"Libcdvd call Clock read 2
","OTHER"
0x00219378,"libdma: sync timeout
","OTHER"
0x002194F0,"Infinity","OTHER"
0x0021979F,"?                0000000000000000Inf","OTHER"
0x002197D0,"0123456789abcdef","OTHER"
0x002197E8,"(null)","OTHER"
0x002197F0,"0123456789ABCDEF","OTHER"
0x00219808,"bug in vfprintf: bad base","OTHER"
0x0021A238,"rom0:ROMVER","OTHER"
0x0021A248,"sceGsDefDispEnv:Not support displaymode for 0x%x!!
","OTHER"
0x0021A280,"sceGsPutDrawEnv: DMA Ch.2 does not terminate\r
","OTHER"
0x0021A2B0,"sceGsSyncPath: DMA Ch.1 does not terminate\r
","OTHER"
0x0021A2E0,"\t<D1_CHCR=%08x:","OTHER"
0x0021A2F0,"D1_TADR=%08x:","OTHER"
0x0021A300,"D1_MADR=%08x:","OTHER"
0x0021A310,"D1_QWC=%08x>\r
","OTHER"
0x0021A320,"\t<D2_CHCR=%08x:","OTHER"
0x0021A330,"D2_TADR=%08x:","OTHER"
0x0021A340,"D2_MADR=%08x:","OTHER"
0x0021A350,"D2_QWC=%08x>\r
","OTHER"
0x0021A360,"\t<VIF1_STAT=%08x:","OTHER"
0x0021A378,"GIF_STAT=%08x>\r
","OTHER"
0x0021A390,"sceGsSyncPath: DMA Ch.2 does not terminate\r
","OTHER"
0x0021A3C0,"sceGsSyncPath: VIF1 does not terminate\r
","OTHER"
0x0021A3F0,"sceGsSyncPath: VU1 does not terminate\r
","OTHER"
0x0021A418,"sceGsSyncPath: GIF does not terminate\r
","OTHER"
0x0021A440,"sceGsSetDefLoadImage: too big size\r
","OTHER"
0x0021A560,"sceGsExecLoadImage: DMA Ch.2 does not terminate\r
","OTHER"
0x0021A598,"## internel error in libkernl.a!
","OTHER"
0x0021A5C0,"DelayThread","OTHER"
0x0021A5D0,"TTY: packet size larger than expect
","OTHER"
0x0021A5F8,"TTY: receive error","OTHER"
0x0021A610,"TTY: send err %d
","OTHER"
0x0021A628,"TTY: err ti->wlen=%08x
","OTHER"
0x0021A822,"m0:UDNL ","OTHER"
0x0021A830,"too long parameter '%s'
","OTHER"
0x0021A850,"# TLB spad=0 kernel=1:%d default=%d:%d extended=%d:%d
","OTHER"
0x0021A888,"# TLB over flow (1)","OTHER"
0x0021A8A0,"# TLB over flow (2)","OTHER"
0x0021A8B8,"# TLB over flow (3)","OTHER"
0x0021AFB0,"
SKG/PS2EE Ver.0.64 Build:Jul 28 2003 17:49:54
","OTHER"
0x0021B7E0,"CRI-MW","OTHER"
0x0021B7E8,"E1060101 ADXB_DecodeHeaderAdx: ","OTHER"
0x0021B808,"can't play AHX data by this handle","OTHER"
0x0021B8B0,"
ADXF/PS2EE Ver.7.10 Build:Jul 28 2003 17:49:52
","OTHER"
0x0021B8E8,"E9040801:partition ID is range outside.(adxf_ChkPrmPt)","OTHER"
0x0021B920,"E9040802:'ptinfo' is NULL.(adxf_ChkPrmPt)","OTHER"
0x0021B950,"E1110701:'tmpbuf' is null.(load partition)","OTHER"
0x0021B980,"E1110702:'tbsize' <= 0.(load partition)","OTHER"
